Date,Open,High,Low,Close,Volume
2024-02-26,10.78,10.88,10.5,10.53,286260888.0
2024-02-27,10.49,10.6,10.46,10.5,198190492.0
2024-02-28,10.51,10.7,10.4,10.49,308269265.0
2024-02-29,10.42,10.59,10.41,10.59,184534423.0
2024-03-01,10.59,10.6,10.43,10.49,182810290.0
2024-03-04,10.45,10.5,10.32,10.33,165592954.0
2024-03-05,10.3,10.47,10.26,10.43,181731907.0
2024-03-06,10.4,10.45,10.33,10.33,134564016.0
2024-03-07,10.33,10.64,10.33,10.38,201616589.0
2024-03-08,10.35,10.44,10.3,10.38,111397428.0
2024-03-11,10.38,10.47,10.34,10.47,121067298.0
2024-03-12,10.48,10.59,10.41,10.56,164126237.0
2024-03-13,10.53,10.55,10.3,10.33,176803911.0
2024-03-14,10.3,10.38,10.2,10.23,140939973.0
2024-03-15,10.55,10.75,10.5,10.6,375020789.0
2024-03-18,10.56,10.61,10.49,10.54,167139651.0
2024-03-19,10.53,10.54,10.39,10.4,129321558.0
2024-03-20,10.38,10.47,10.37,10.45,87266316.0
2024-03-21,10.45,10.52,10.42,10.47,86446625.0
2024-03-22,10.45,10.45,10.31,10.36,102814174.0
2024-03-25,10.35,10.49,10.32,10.4,95320221.0
2024-03-26,10.45,10.66,10.42,10.6,174002146.0
2024-03-27,10.56,10.63,10.51,10.53,127413599.0
2024-03-28,10.51,10.57,10.38,10.49,130218892.0
2024-03-29,10.45,10.57,10.43,10.52,87275898.0
2024-04-01,10.52,10.65,10.51,10.64,119108796.0
2024-04-02,10.63,10.68,10.53,10.55,108545826.0
2024-04-03,10.53,10.55,10.42,10.46,98184585.0
2024-04-08,10.42,10.49,10.37,10.43,90636052.0
2024-04-09,10.43,10.47,10.36,10.4,85715673.0
2024-04-10,10.38,10.41,10.27,10.28,124639082.0
2024-04-11,10.24,10.29,10.12,10.25,101021340.0
2024-04-12,10.22,10.27,10.04,10.06,130545371.0
2024-04-15,10.07,10.32,10.06,10.29,145320260.0
2024-04-16,10.28,10.39,10.22,10.28,147803643.0
2024-04-17,10.26,10.63,10.21,10.62,223264057.0
2024-04-18,10.58,11.03,10.56,10.8,316591426.0
2024-04-19,10.71,10.82,10.66,10.69,145767502.0
2024-04-22,10.64,10.81,10.45,10.5,200981837.0
2024-04-23,10.51,10.65,10.46,10.54,124002700.0
2024-04-24,10.52,10.57,10.46,10.53,94156774.0
2024-04-25,10.5,10.62,10.48,10.61,111381224.0
2024-04-26,10.59,10.67,10.48,10.6,160762751.0
2024-04-29,10.56,10.9,10.52,10.81,216917737.0
2024-04-30,10.8,10.88,10.73,10.79,132455653.0
2024-05-06,10.96,11.11,10.84,10.89,178410057.0
2024-05-07,10.87,10.89,10.76,10.88,108705665.0
2024-05-08,10.84,10.88,10.71,10.73,122179127.0
2024-05-09,10.71,10.82,10.71,10.76,106946063.0
2024-05-10,10.77,10.96,10.76,10.94,176783561.0
2024-05-13,10.9,11.01,10.81,10.97,140249860.0
2024-05-14,11.0,11.06,10.88,10.91,107578391.0
2024-05-15,10.9,10.92,10.81,10.83,86829660.0
2024-05-16,10.85,11.21,10.83,11.17,307629165.0
2024-05-17,11.18,11.42,11.13,11.42,284174885.0
2024-05-20,11.43,11.53,11.31,11.38,217021030.0
2024-05-21,11.32,11.62,11.31,11.55,203004941.0
2024-05-22,11.56,11.74,11.46,11.56,211553138.0
2024-05-23,11.53,11.59,11.37,11.4,184162290.0
2024-05-24,11.37,11.49,11.3,11.31,139827584.0
2024-05-27,11.31,11.53,11.31,11.51,145436143.0
2024-05-28,11.5,11.58,11.36,11.4,120432285.0
2024-05-29,11.38,11.45,11.23,11.26,144481111.0
2024-05-30,11.24,11.34,11.06,11.12,132549635.0
